Year_Month,Card_type,Travel_Mode,Trip
May-2017,Child/Youth,Bus,1122661.0
May-2017,Child/Youth Single Bus Trip 1,Bus,40946.0
May-2017,Child/Youth Single Bus Trip 2,Bus,25907.0
May-2017,Child/Youth Single Bus Trip 3,Bus,7355.0
May-2017,Concession,Bus,2193095.0
May-2017,Employee,Bus,77797.0
May-2017,Free Travel,Bus,40054.0
May-2017,School Student,Bus,3124770.0
May-2017,Senior/Pensioner,Bus,4329706.0
May-2017,Adult,Ferry,812318.0
May-2017,Child/Youth,Ferry,63543.0
May-2017,Concession,Ferry,28200.0
May-2017,Employee,Ferry,5428.0
May-2017,Free Travel,Ferry,2355.0
May-2017,School Student,Ferry,2435.0
May-2017,Senior/Pensioner,Ferry,189654.0
May-2017,Sgl Trip Ferry Adult,Ferry,40290.0
May-2017,Sgl Trip Ferry Child/Youth,Ferry,5607.0
May-2017,Adult,Light Rail,614636.0
May-2017,Child/Youth,Light Rail,31460.0
May-2017,Concession,Light Rail,32391.0
May-2017,Free Travel,Light Rail,936.0
May-2017,School Student,Light Rail,6885.0
May-2017,Senior/Pensioner,Light Rail,144208.0
May-2017,Sgl Trip LR Adult,Light Rail,2535.0
May-2017,Sgl Trip LR Child/Youth,Light Rail,432.0
May-2017,Adult,Train,26157005.0
May-2017,Child/Youth,Train,952898.0
May-2017,Concession,Train,2727746.0
May-2017,Employee,Train,332707.0
May-2017,Free Travel,Train,35442.0
May-2017,School Student,Train,1272946.0
May-2017,Senior/Pensioner,Train,3039985.0
May-2017,Sgl Trip Rail Adult,Train,293744.0
May-2017,Sgl Trip Rail Child/Youth,Train,50537.0
Jun-2017,Adult,Bus,13139949.0
Jun-2017,Adult Single Bus Trip 1,Bus,149534.0
Jun-2017,Adult Single Bus Trip 2,Bus,90172.0
Jun-2017,Adult Single Bus Trip 3,Bus,35967.0
Jun-2017,Child/Youth,Bus,1066813.0
Jun-2017,Child/Youth Single Bus Trip 1,Bus,38891.0
Jun-2017,Child/Youth Single Bus Trip 2,Bus,25954.0
Jun-2017,Child/Youth Single Bus Trip 3,Bus,7945.0
Jun-2017,Concession,Bus,1472712.0
Jun-2017,Employee,Bus,69266.0
Jun-2017,Free Travel,Bus,35256.0
Jun-2017,School Student,Bus,2499684.0
Jun-2017,Senior/Pensioner,Bus,3904931.0
Jun-2017,Adult,Ferry,791353.0
Jun-2017,Child/Youth,Ferry,94767.0
Jun-2017,Concession,Ferry,26673.0
Jun-2017,Employee,Ferry,5164.0
Jun-2017,Free Travel,Ferry,2211.0
Jun-2017,School Student,Ferry,1764.0
Jun-2017,Senior/Pensioner,Ferry,180835.0
Jun-2017,Sgl Trip Ferry Adult,Ferry,42949.0
Jun-2017,Sgl Trip Ferry Child/Youth,Ferry,10431.0
Jun-2017,Adult,Light Rail,615981.0
Jun-2017,Child/Youth,Light Rail,39888.0
Jun-2017,Concession,Light Rail,33781.0
Jun-2017,Employee,Light Rail,1.0
Jun-2017,Free Travel,Light Rail,956.0
Jun-2017,School Student,Light Rail,4961.0
Jun-2017,Senior/Pensioner,Light Rail,148978.0
Jun-2017,Sgl Trip LR Adult,Light Rail,2837.0
Jun-2017,Sgl Trip LR Child/Youth,Light Rail,623.0
Jun-2017,Adult,Train,24096554.0
Jun-2017,Child/Youth,Train,1076221.0
Jun-2017,Concession,Train,1944290.0
Jun-2017,Employee,Train,308301.0
Jun-2017,Free Travel,Train,31954.0
Jun-2017,School Student,Train,1054982.0
Jun-2017,Senior/Pensioner,Train,2840831.0
Jun-2017,Sgl Trip Rail Adult,Train,293213.0
Jun-2017,Sgl Trip Rail Child/Youth,Train,60524.0
Jul-2017,Adult,Bus,13625495.0
Jul-2017,Adult Single Bus Trip 1,Bus,159698.0
Jul-2017,Adult Single Bus Trip 2,Bus,96674.0
Jul-2017,Adult Single Bus Trip 3,Bus,36141.0
Jul-2017,Child/Youth,Bus,1386168.0
Jul-2017,Child/Youth Single Bus Trip 1,Bus,55170.0
Jul-2017,Child/Youth Single Bus Trip 2,Bus,42041.0
Jul-2017,Child/Youth Single Bus Trip 3,Bus,12555.0
Jul-2017,Concession,Bus,1361714.0
Jul-2017,Employee,Bus,71153.0
Jul-2017,Free Travel,Bus,36248.0
Jul-2017,School Student,Bus,1298172.0
Jul-2017,Senior/Pensioner,Bus,4020743.0
Jul-2017,Adult,Ferry,858171.0
Jul-2017,CTP,Ferry,2138.0
Jul-2017,Child/Youth,Ferry,157889.0
Jul-2017,Concession,Ferry,26169.0
Jul-2017,Employee,Ferry,4730.0
Jul-2017,Free Travel,Ferry,2328.0
Jul-2017,School Student,Ferry,1043.0
Jul-2017,Senior/Pensioner,Ferry,180265.0
Jul-2017,Sgl Trip Ferry Adult,Ferry,55823.0
Jul-2017,Sgl Trip Ferry Child/Youth,Ferry,20097.0
Jul-2017,Adult,Light Rail,607262.0
Jul-2017,Child/Youth,Light Rail,51615.0
Jul-2017,Concession,Light Rail,30979.0
Jul-2017,Employee,Light Rail,1.0
Jul-2017,Free Travel,Light Rail,665.0
Jul-2017,School Student,Light Rail,2976.0
Jul-2017,Senior/Pensioner,Light Rail,135655.0
Jul-2017,Sgl Trip LR Adult,Light Rail,4507.0
Jul-2017,Sgl Trip LR Child/Youth,Light Rail,1486.0
Jul-2017,Adult,Train,23827242.0
Jul-2017,Child/Youth,Train,1407616.0
Jul-2017,Concession,Train,1719629.0
Jul-2017,Employee,Train,294034.0
Jul-2017,Free Travel,Train,32228.0
Jul-2017,School Student,Train,562500.0
Jul-2017,Senior/Pensioner,Train,2804836.0
Jul-2017,Sgl Trip Rail Adult,Train,330262.0
Jul-2017,Sgl Trip Rail Child/Youth,Train,92187.0
Aug-2017,Adult,Bus,14614966.0
Aug-2017,Adult Single Bus Trip 1,Bus,152050.0
Aug-2017,Adult Single Bus Trip 2,Bus,88604.0
Aug-2017,Adult Single Bus Trip 3,Bus,33402.0
Aug-2017,Child/Youth,Bus,1129569.0
Aug-2017,Child/Youth Single Bus Trip 1,Bus,37346.0
Aug-2017,Child/Youth Single Bus Trip 2,Bus,24122.0
Aug-2017,Child/Youth Single Bus Trip 3,Bus,6683.0
Aug-2017,Concession,Bus,2287083.0
Aug-2017,Day Pass Child/Youth w/o SAF,Bus,7.0
Aug-2017,Day Pass without SAF,Bus,15.0
Aug-2017,Employee,Bus,75220.0
Aug-2017,Free Travel,Bus,39408.0
Aug-2017,School Student,Bus,2871680.0
Aug-2017,Senior/Pensioner,Bus,4196065.0
Aug-2017,Adult,Ferry,759500.0
Aug-2017,CTP,Ferry,1976.0
Aug-2017,Child/Youth,Ferry,79252.0
Aug-2017,Concession,Ferry,27276.0
Aug-2017,Day Pass Child/Youth w/o SAF,Ferry,3.0
Aug-2017,Day Pass without SAF,Ferry,5.0
Aug-2017,Employee,Ferry,4423.0
Aug-2017,Free Travel,Ferry,2045.0
Aug-2017,School Student,Ferry,2206.0
Aug-2017,Senior/Pensioner,Ferry,164130.0
Aug-2017,Sgl Trip Ferry Adult,Ferry,47631.0
Aug-2017,Sgl Trip Ferry Child/Youth,Ferry,11008.0
Aug-2017,Adult,Light Rail,575024.0
Aug-2017,Child/Youth,Light Rail,33221.0
Aug-2017,Concession,Light Rail,33944.0
Aug-2017,Day Pass Child/Youth w/o SAF,Light Rail,3.0
Aug-2017,Day Pass without SAF,Light Rail,2.0
